00:00:00:00;Reset;DMX TAKEOVER LIGHTS STRAIGHT
00:00:00:60;Lightsblue;ALL LIGHTS BLUE
00:00:01:19;Lightsout;ALL LIGHTS OUT
00:00:02:49;Music 
00:00:05:33;LowfreqFade 
00:00:10:50;VocalFade
00:00:17:05;VocalFade
00:00:18:20;VocalUp
00:00:24:24;VocalDown1
00:00:25:84;VocalDown2
00:00:27:53;VocalDown3
00:00:30:70;Boom
00:00:31:35;MaleVoice
00:00:35:88;MaleVoice done
00:00:36:28;DIS
00:00:36:56;DIS
00:00:36:89;DIS
00:00:37:46;DIS,TRICT
00:00:38:44;DIS1,Disnum
00:00:38:92;DIS2,Disnum
00:00:39:51;DIS3,Disnum
00:00:42:00;BeatBar,Startbeat
00:00:42:70;Takt
00:00:43:41;Takt
00:00:43:73;XX
00:00:44:09;Takt
00:00:44:25;XX
00:00:44:74;BeatBar
00:00:45:44;Takt
00:00:46:13;Takt
00:00:46:84;Takt
00:00:47:54;BeatBar
00:00:48:23;Takt
00:00:48:93;Takt
00:00:49:24;XX
00:00:49:58;Takt
00:00:49:76;XX
00:00:50:28;BeatBar
00:00:50:97;Takt
00:00:51:67;Takt
00:00:52:36;Takt
00:00:52:69;PIPING
00:00:53:07;BeatBar
00:00:53:75;Takt
00:00:54:42;Takt
00:00:54:76;XX
00:00:55:10;Takt
00:00:55:28;XX
00:00:55:81;BeatBar
00:00:56:49;Takt
00:00:57:20;Takt
00:00:57:88;Takt
00:00:58:59;BeatBar
00:00:59:23;Takt
00:00:59:94;Takt
00:01:00:28;XX
00:01:00:63;Takt
00:01:00:80;XX
00:01:01:33;BeatBar
00:01:02:02;Takt
00:01:02:72;Takt
00:01:03:41;Takt
00:01:03:73;Hihat
00:01:03:92;Hihat
00:01:04:08;BeatBar,Hovedparti
00:01:04:76;Takt
00:01:05:11;Piping
00:01:05:46;Piping
00:01:05:47;Takt
00:01:05:80;XX
00:01:06:15;Takt
00:01:06:32;XX
00:01:06:86;Bar;XX
00:01:07:55;Takt
00:01:08:25;Takt
00:01:08:90;Takt
00:01:09:58;Bar;XX SMELL
00:01:10:29;Takt
00:01:10:99;Takt
00:01:11:32;XX
00:01:11:68;Takt
00:01:11:84;XX
00:01:12:39;Bar
00:01:12:36;XX
00:01:13:07;Takt
00:01:13:72;Takt
00:01:14:42;Takt
00:01:15:11;Bar;XX SMELL
00:01:15:82;Takt
00:01:16:52;Takt
00:01:16:84;XX
00:01:17:21;Takt
00:01:17:36;XX
00:01:17:91;XX
00:01:18:56;Takt
00:01:19:24;Takt
00:01:19:95;Takt
00:01:20:64;Bar;SPJOINGSMELL
00:01:21:34;Takt
00:01:22:05;Takt
00:01:22:73;Takt
00:01:23:38;Bar;Hovedparti takeoff
00:01:24:08;Takt
00:01:24:77;Takt
00:01:25:47;Takt
00:01:26:18;Bar;Takeoff beats!
00:01:26:87;Takt
00:01:27:51;Takt
00:01:28:22;Takt
00:01:28:90;Bar
00:01:29:61;Takt
00:01:30:31;Takt
00:01:31:00;Takt
00:01:31:71;Bar
00:01:32:35;Takt
00:01:33:03;Takt
00:01:33:74;Takt
00:01:34:45;Bar
00:01:35:13;Takt
00:01:35:84;Takt
00:01:36:52;Takt
00:01:37:19;Bar
00:01:37:87;Takt
00:01:38:58;Takt
00:01:39:26;Takt
00:01:39:97;Bar
00:01:40:65;Takt
00:01:41:36;Takt
00:01:42:01;Takt
00:01:42:71;Bar
00:01:43:40;Takt
00:01:44:10;Takt
00:01:44:79;Takt
00:01:45:49;Bar,Reloop
00:01:46:18;Reloop,Takt
00:01:46:85;Reloop,Takt
00:01:47:53;Reloop,Takt
00:01:48:24;Bar,Reloop
00:01:48:92;Takt
00:01:49:63;Takt
00:01:50:31;Takt
00:01:51:02;Bar
00:01:51:66;Takt
00:01:52:37;Takt
00:01:53:05;Takt
00:01:53:76;Bar
00:01:54:44;Takt
00:01:55:15;Takt
00:01:55:86;Takt
00:01:56:50;Bar
00:01:57:19;Takt
00:01:57:89;Takt
00:01:58:58;Takt
00:01:59:28;Bar
00:01:59:97;Takt
00:02:00:68;Takt
00:02:01:32;Takt
00:02:02:03;Bar
00:02:02:71;Takt
00:02:03:42;Takt
00:02:04:10;Takt
00:02:04:81;Bar
00:02:05:51;Takt
00:02:06:16;Takt
00:02:06:84;Takt
00:02:07:55;Bar
00:02:08:25;Takt
00:02:08:94;Takt
00:02:09:64;Takt
00:02:10:33;Bar,Velkommen;VELKOMMEN TIL DISTRICT
00:02:10:99;Takt
00:02:11:68;Takt
00:02:12:39;Takt,DistrictSlutt;DISTRICT
00:02:13:07;SluttSlag
00:02:13:78;SluttTakt
00:02:14:46;SluttTakt
00:02:15:17;SluttTakt
00:02:15:81;SluttSlag
00:02:16:52;SluttTakt
